run,tag,step,value
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_accuracy,14,0.9241753816604614
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_accuracy,15,0.9232752919197083
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_accuracy,16,0.9252927899360657
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_accuracy,17,0.9270066022872925
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_accuracy,18,0.9265627861022949
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_accuracy,19,0.9273107647895813
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,0,0.43008750677108765
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,1,0.48526009917259216
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,2,0.5965676307678223
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,3,0.6239615082740784
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,4,0.627832293510437
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,5,0.6436935067176819
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,6,0.6573264598846436
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,7,0.6800544261932373
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,8,0.6817921996116638
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,9,0.6698976755142212
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,10,0.6919514536857605
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,11,0.6925076246261597
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,12,0.6944114565849304
